t,F
0.006,16.725
0.024,37.631
0.04,60.627
0.068,96.167
0.1,131.707
0.128,158.885
0.156,186.063
0.196,206.969
0.228,232.056
0.28,255.052
0.323,265.505
0.383,267.596
0.447,267.596
0.523,269.686
0.567,265.505
0.643,259.233
0.707,255.052
0.759,246.69
0.811,238.328
0.855,221.603
0.883,204.878
0.919,183.972
0.942,160.976
0.978,131.707
1.01,104.53
1.042,79.443
1.062,66.899
1.086,50.174
1.13,35.54
1.17,22.997
1.202,12.544
1.236,6.272
